＃,Japanese,English,French,German
7047,非破壊検査法,nondestructive inspection,"revision non destructive (f), controle non destructif (m)","zerstorungsfreie Revision (f), zerstorungsfreie Untersuchung (f), zerstorungsfreie Prufung (f)"
7048,P波警報［早期警報用地震計の］,P-wave warning,avertissement P-wave (m),P-Wellen-Warnung (f)
7049,P波速度［地震の］,primary wave velocity,vitesse de propagation des ondes P (f),Primarwellengeschwindigkeit (f)
7050,BP,brake pipe,tuyau de freinage (m),Bremsleitung (f)
7051,BPG,brake pattern generator,generateur de motif de frein (m),Bremsmustergenerator (m)
7052,BP支承,"BP bearing, BP support","etancon BP (m), support BP (m)","BP-Lager (n), BP-Trager (m)"
7053,ビビり振動［車体の］,rattling vibration,vibration a crepitement (f),Ratternschwingung (f)
7054,ひび割れ［コンクリートの］,crack,fissure (f),"Ris (m), Spaltung (f), Sprung (m)"
7055,ひび割れ注入材［コンクリートの］,grout,coulis (m),Einpflanzungsmaterialien auf Bos Teilen (m)
7056,ヒービング［地盤の］,heaving,gonflement de sol (m),Hebung (f)
7057,被覆アーク溶接,shielded metal arc welding,soudage a l’arc avec electrode enrobee (m),Lichtbogenschweisen mit Mantelelektrode (n)
7058,ピボット［トングレールの］,pivot,pivot (m),Drehpunkt (m)
7059,ピボット支承［橋梁の］,pivot bearing,crapaudine (f),"untere Drehpfanne (f), unteres Drehzapfenlager（n), Angel (f), Turangel (f), Drehgelenk（n）"
7060,比摩耗量［パンタグラフすり板の］,specific wear rate,taux d’usure specifique (m),spezifische Verschleisrate (f)
7061,ビームスラブラーメン橋,beam-slab rigid frame bridge,pont a cadre rigide a dalles-poutres (m),Balken-Tafel-starre Rahmenbrucke (f)
7062,ビューゲル［集電装置の］,Bugel（独）,"collecteur en archet (m), archet (m)",Bugel (m)
7063,ビュフェ車両,"buffet car, buffet coach",voiture-buffet (f),"Buffetwagen (m), Imbisswagen (m)"
7064,ビューフォート風力階級,Beaufort wind-force scale,echelle（f) anemometrique Beaufort (f),Beaufort-Skala (f)
7065,評価雑音,evaluation noise,bruit evalue (m),Auswertungsgerausch (n)
7066,表乾比重［骨材の］,specific gravity of saturated surface-dry aggregate,poids specifique des agregats satures a surface seche (m),spezifische Gewicht von saturiertem Oberflache-trockenem Aggregat (n)
7067,表記荷重［貨車の］,allowable maximum load,"charge limite autorisee (f), charge maximale admissible (f)",hochstzulassige Last (f)
7068,秒記号,symbol representing a second,symbole de la seconde (m),Zeichen fur Sekunde (n)
7069,表記トン数［貨車の］,marked tonnage,tonnage indique (m),markierte Tonnage (f)
7070,票券隔時法［閉そく準用法の］,time interval method using staff and ticket,methode par intervalle de temps par des tickets (f),Zeitintervallmethode mit Personal und Karten (f)
7071,票券閉そく式,"staff and ticket block system, tablet and ticket system",blocage a gage staff et billet (m),"Personal-und-Kartenblocksystem (n), Tablett-und-Kartensystem (n)"
7072,兵庫県南部地震,Hyogo-ken Nambu earthquake,tremblement de terre de Hyogo-ken Nambu (m),Erdbeben von Hyogo-ken Nambu (n)
7073,表示駅［CTC区間の］,indication station,station indicatrice (f),Anzeigebahnhof (m)
7074,表示回路［転てつ機の］,detection circuit,circuit d’indication (m),Detektionsschaltung (f)
7075,標識,sign marker,"marque (f), signe (m), repere (m), indicateur (m)",Schild (n)
7076,標識付き転換機,switch stand with marker,aiguillage avec marqueur (m),Weichenvorrichtung mit Marke (f)
7077,標識灯,"marker light, signal lamp","feu de repere (m), lanterne-repere (f), oeilleton (m), lanterne de signal (f)","Kennlicht (n), Positionslicht (n), Signallaterne (f)"
7078,表示コード［CTCの］,indication code,code d’affichage (m),Anzeigecode (m)
7079,表示サイクル［CTCの］,indication cycle,cycle d’indication (m),Anzeigezyklus (m)
7080,表示鎖錠,indication lock,verrouillage d’indication (m),Anzeigeverschluss (m)
7081,表示情報［CTCの］,indication information,information d’affichage (fpl),Anzeigeinformation (f)
7082,標準活荷重［構造物の］,standard live load,"charge dynamique standard (f), charge mobile standard (f)","Norm-Betriebslast (f), Norm-Verkehrslast (f), Standard-Betriebslast (f), Standard-Verkehrslast (f)"
7083,標準貫入試験［地盤の］,standard penetration test,essai de penetration normalise (m),"genormter Eindringversuch (m), Durchfuhrungversuch (f), Durchdringungversuch (f)"
7084,標準軌,standard gauge,"voie normale (f), ecartement normal (m), ecartement standard (m)","Normalspur (f), Regelspur (f)"
7085,標準供試体［コンクリートの］,standard concrete specimens,eprouvette normalisee (f),"Normprobe (f), Normprufstab (m)"
7086,標準ゲージ,track gauge,jauge de la voie (f),ublicher Spurweitenmasstab (m)
7087,標準勾配,standard gradient,"gradient courant (m), declivite normale (f)","Regelneigung (f), Regelgradiente (f)"
7088,標準作用高さ［パンタグラフの］,normal working height,hauteur de travail normale (f),normale Betriebshohe (f)
7089,標準試験レール［超音波探傷の］,calibration rail,rail de calibrage (m),normale Prufungsschiene (f)
7090,標準支保パターン［トンネル掘削の］,standard supporting pattern,modele standard de soutenement (m),Standard-Unterstutzungs-Muster (n)
7091,標準使用量［塗装の］,standard coverage,"domaine d’application standard (m), domaine d’emploi standard [area of application] (m)",Standard-Geltungsbereich (m)
7092,標準静押上力［パンタグラフの］,target static contact force,force de contact de cible statique (f),statische Ziel-Kontaktkraft (f)
7093,標準セグメント［シールド工法の］,standard segment,"segment standard (m), voussoir standard (m)","Standardsegment (n), Standardtubbing (m)"
7094,標準値［橋脚の］,standard value,valeur indicative (f),"Wertigkeitszahl (f), Richtwert (m)"
7095,標準電圧［電化方式別の］,standard voltage,"tension normale (f), tension normalisee (f)",Normspannung (f)
7096,標準ふるい,test sieves,tamis de repere (m),Prufsieb (n)
7097,表示用地震計,display seismometer，display seismograph,sismographe visualise (m),"Anzeigeseismograph (m), Seismograph（m) Schitgeratseismograph (m)"
7098,表示リレー,indication relay,relais d’indication (m),Anzeigerelais (n)
7099,表層地盤,surface layer,terre superficielle (f),Oberflacheboden (f)
7100,表層地質図,subsurface geological map,carte de geologie superficielle (f),geologische Karte des Untergrunds (f)
7101,表層雪崩,surface layer avalanche,avalanche de couche superficielle (f),"Oberflachenschichtlawine (f), Oberflachenlawine (f)"
7102,表定速度,scheduled speed,vitesse commerciale (f),vorgesehene Geschwindigkeit (f)
7103,費用便益分析,cost benefit analysis,analyse de cout-benefice (f),Nutzen-Kosten-Analyse (f)
7104,表面粗さ［塗装素地面の］,surface roughness,rugosite de la surface (f),"Oberflachenrauheit (f), Oberflachenrauhigkeit (f)"
7105,表面処理,"surface modification, surface treatment",traitement superficiel (m),Oberflachenbehandlung (f)
7106,表面水［骨材の］,surface moisture of aggregate,"humidite de surface (f), humidite superficielle (f)",Oberflachenfeuchtigkeit (f)
7107,表面断熱つらら防止工法,adiabatic icicle prevention on lining surface,prevention calorifuge des chandelles de glace au revetement de tunnel (f),adiabatischeVerhutung von Eiszapfen auf der Auskleidungsflache (f)
7108,表面波,surface wave,"onde de surface (f), onde de sol (f)","Oberflachenwelle (f), Bodenwelle (f)"
7109,表面保護層［浮上式鉄道の］,surface protection layer,couche de protection de surface (f),Oberflachenschutzschicht (f)
7110,漂遊静電容量［架空電線の］,stray capacitance,"capacite parasite (f), capacite parasitaire (f), capacite de dispersion (f), capacite de fuite (f)",Streukapazitat (f)
7111,避雷器［車両の］,arrester,parafoudre (m),Ableiter (m)
7112,平形継目板［レールの］,flat joint bar,barre de jonction plate (f),flache Form-Lasche (f)
7113,開き戸［車両の］,"hinged door, swing door, slam door","porte battante (f), porte pivotante (f)",Pendeltur (f)
7114,開き戸錠［車両の］,"hinged door latch, hinged door lock, swing door latch, swing door lock","verrou de porte battante (m), loquet de porte battante (m)","Pendelturriegel (m), Pendelturklinke (f)"
7115,開き戸止め［車両の］,hinged door holder,poignee de porte battante (f),Pendelturgriff (m)
7116,平軸受［車軸の］,plain bearing,palier lisse (de la fusee d’essieu) (m),（Schenkel) Gleitlager (n)
7117,平車輪,flat tread wheel,roue a meplat (f),Rad mit flachem Laufkreis (n)
7118,平底レール,flat-bottom rail,rail a patin (m),Breitfusschiene (f)
7119,ヒール［分岐器の］,heel of switch,"talon (m), talon d’aiguille (m)",Weichenzungenwurzel (f)
7120,HILS,HILS,HILS (m),HILS (f)
7121,疲労［金属材料の］,fatigue,fatigue (f),Ermudung (f)
7122,疲労［車輪の］,fatigue,fatigue (f),Ermudung (f)
7123,疲労［レールの］,fatigue,fatigue (f),Ermudung (f)
7124,疲労き裂［鋼材の］,fatigue crack,rupture de fatigue (f),"Ermudungsbruch (m), Deuerriss (m)"
7125,疲労限界状態［構造物の］,fatigue limit state,etat de limite de fatigue (m),Dauerschwingfestigkeit (f)
7126,疲労設計法［橋梁の］,fatigue design,conception de fatigue (f),Ermudungsdesign beschrankt (n)
7127,P-WARC,P-WARC,P-WARC,P-WARC
7128,ヒンジ式柱,"hinged stanchion, rocking stanchion, socket stanchion",etancon rabattable (m),"mit einem Scharnier versehene Stutze (m), das Wiegen von Stutze (m), Pendelstutze (m)"
7129,ヒンジ支承,"articulated support, hinged support",support articule (m),"artikulierte Unterstutzung (f), mit Scharnieren (n) versehene Unterstutzung (f)"
7130,ピン支承,"pin bearing, pin support","etancon d’epingle (m), support d’epingle (m)","Stiftlager (n), Stifttrager (m)"
7131,便乗,crew deadheading,deplacement au haut-le-pied (m),mitfahren
7132,ピン接合［構造物の］,"pin joint, hinged joint",joint a tourillon (m),"Gelenkverbindung (f), Gelenkstos (m), Gelenkknoten (m)"
7133,ピン止め力,pinning force,force de goupille (f),Anheften der Nadelpfropfenmacht (n)
7134,ピンニング［超電導体の］,pinning,"ancrage (m), epingle (f)",Pinning (n)
7135,貧配合［コンクリートの］,poor-mix,melange pauvre (m),"armes Gemisch (n), manger adj (Beton, Kalk)"
7136,ピンほぞ継手［シールドトンネルの］,pin joint,joint a tenon et a mortaise (m),"Steckbolzenverbindung (f), Gelenkverbindung (f)"
7137,ファイバージャイロ,fiber gyro,"gyroscope a fibres optiques (m), (FOG)",Faser-Giroskop (m)
7138,ファジィ制御［空気ブレーキの］,"fuzzy control, fuzzy ABS","commande floue (f), ABS flou (m)","Fuzzy-Steuerung (f), Fuzzy-ABS (n)"
7139,FAST動特性［騒音計の］,FAST weighting,ponderation rapide (f),"F Zeitbewertung (f), Zeitbewertung FAST (f)"
7140,ファストン［信号用電線端子の］,faston terminal,borne Faston (m),Fastonanschluss (m)
7141,ファン［ディーゼル車の］,fan,"aerateur (m), ventilateur (m), souffleur (m)","Lufter (m), Blaser (m)"
7142,ファングボルト［レール・床板の］,fang bolt,"goujon de macon (m), boulon de scellement (m)",Giftzahnschraube (f)
7143,V形機関,"vee engine, V-engine, V-type engine","moteur a cylindres en V (m), moteur en V (m)","V-Motor (m), Motor mit V-formig angeordneten Zylindern (m)"
7144,VCCI［電磁障害の］,Voluntary Control Council for Interference by Information Technology Equipment,Conseil de volontaires de controle des interferences dues aux equipements des technologies de l’information (m),Freiwilliger Kontrollrat fur Interferenzen von Einrichtungen der Informationstechnik (m)
7145,フィーダー,feeder,"feeder (m), fil d’alimentation (m)",Speiseleitung (f)
7146,フィーダー（フィーダーバス）,feeder（feeder bus）,ligne d’alimentation (ligne d’alimentation de bus) (f),Zubringer (Zubringerbus) (m)
7147,フィーダーメッセンジャー,feeder messenger,feeder porteur (m),"Speisehaupttragseil (n), Speisetragseil (n)"
7148,フィードイヤー［き電線の］,"feeding fitting, feeder ear",griffe de connexion entre fil de contact et feeder (f),"Einspeisungszubehor (n), Speiseleitungsohr (n)"
7149,フィニッシャビリティー［コンクリートの］,finishability,capacite de finissage (f),Strasenfertiger (m)
7150,VVVFインバーター,VVVF inverter,onduleur VVVF (m),VVVF-Wechselrichter (m)
7151,VVVFインバーター制御,variable voltage variable frequency inverter control,commande d’onduleur a frequence variable et variation de tension (VVVF) (f),Wechselrichtersteuerung mit durchstimmbarer Spannung und durchstimmbarer Frequenz (f)
7152,フィルターコンデンサー［電気車の］,filter capacitor,"filtre condensateur (m), condensateur de lissage (m)",Stutzkondensator (m)
7153,フィルターリアクトル,filter reactor,reacteur de filtre (m),Filterreaktor (m)
7154,フィールドオリエンティドベクトル制御,field oriented vector control,controle vectoriel oriente sur le champ (m),feldorientierte Vektorregelung (f)
7155,フィールドコーナー,field side,cote exterieur (m),Feldseite (f)
7156,フィーレンディール橋,Vierendeel bridge,"pont Vierendeel (m), pont-echelle (m)","Vierendeelbrucke (f), Rahmenbrucke (f)"
7157,風圧,wind pressure,pression du vent (f),Winddruck (m)
7158,風圧荷重［架空電線路の］,wind load rank,pression de vent (f),Windlastrang (m)
7159,風圧係数,wind pressure coefficient,coefficient de pression du vent (m),Winddruck-Koeffizient (m)
7160,風圧偏位［架線の］,blow-off,deplacement du au vent (m),Windabtrieb (m)
7161,風化作用,weathering,"alteration (f), desagregation (f)",Bewitterung (f)
7162,風管［トンネル内の］,air duct,"conduit de ventilation (m), conduit d’air (m), tuyau d’aeration (m)","Luftkanal (m), Luftschacht (m), Entluftungsrohr (m), Beluftungsrohr (m)"
7163,風向特性［空気力係数の］,directional characteristics,caracteristiques directionnelles (fpl),Eigenschaften von Wind-Richtung (f)
7164,風向風速計,wind vane and anemometer,"anemometre a moulinet (m), anemometre-anemoscope (m)","Flugelradanemometer (m), hydrometrischer Flugel (m), Windradanemometer (m), Gasdurchflusmesser (m), Anemometer (m)"
7165,風向別運転規制方法,train operation based on wind direction,controle des trains basee sur la direction du vent (m),windrichtungsbasierter Zugbetrieb (m)
7166,風速,"wind speed, wind velocity","vitesse du vent (f), velocite du vent (f)","Windgeschwindigkeit (f), Windschnelligkeit (f)"
7167,風速監視装置,wind monitoring device,dispositif de surveillance de la vitesse du vent (m),"Winduberwachungseinrichtung (f), Windgeschwindigkeiteinrichtung"
7168,風速計,anemometer,anemometre (m),"Anemometer (m), Windmesser (m), Gasdurchflusmesser (m)"
7169,風速警報器,strong wind warning device,dispositif d’alerte au vent fort (m),"Warnvorrichtung fur starken Wind (f), Windgeschwindigkeit das Warmlicht"
7170,風速比,wind speed ratio,rapport de vitesse du vent (m),Windgeschwindigkeitsverhaltnis (n)
7171,風速変動,fluctuation of wind speed,fluctuation de la vitesse du vent (f),Schwankung der Windgeschwindigkeit (f)
7172,風道,air duct,"conduit de ventilation (m), conduit d’air (m)","Luftkanal (m), Luftschacht (m)"
7173,風洞,wind tunnel,"soufflerie (f), tunnel aerodynamique (m)",Windkanal (m)
7174,風洞試験,wind tunnel test,essai de soufflerie (m),Windkanalversuch (m)
7175,風倒木,"fallen timber, fallen tree",chablis (m),umgefallener Baum (m)
7176,フェアライドシステム［旅客運賃の］,fair ride system,systeme de tarif raisonnable (m),faire Fahrt-System (n)
7177,フェアリング［浮上式鉄道車両の］,fairing,carenage (m),Stromlinienverkleidung (f)
7178,フェースジャッキ,face jack,verin au front de taille (m),Wagenheber (m)
7179,フェード［摩擦ブレーキ材の］,fade,evanouissement (m),Fading (n)
7180,フェライト,ferrite,ferrite (m),Ferrit (n)
7181,フェールセーフ,"fail safe, fail-safe","a securite integree, a surete integree, protege contre les defaillances","fehlersicher (adj), ausfallsicher (adj), ausfallunempfindlich (adj), fehlertolerant (adj), gefahrlos bei Ausfall (adj)"
7182,フェールセーフ比較回路,fail-safe comparator,"comparateur a securite passive (m), comparateur a securite intrinseque (m)","fehlertoleranter Komparator (m), ausfallsicherer Vergleicher (m), ausfallunempfindliche Vergleichseinheit (f)"
7183,フェールセーフLAN,fail-safe LAN,reseau local a surete integree (m),ausfallsicheres LAN (n)
7184,フェールセーフ論理素子,fail-safe logic component,composante logique a surete integree (f),"fehlersichere Logikkomponente (f), ausfallsichere Logikkomponente (f), fehlertolerante Logikkomponente (f)"
7185,フェールソフト［故障の］,fail-soft,"a degradation graduelle, flexible contre perturbation",mit schrittweisem Ausfall (adv)
7186,フェログラフィ［潤滑油・グリースの］,ferrography,ferrographie (f),Ferrographie (f)
7187,フォイト式液体変速機,Voith type hydraulic transmission,transmission hydraulique de type Voith (f),"Voith-Flussigkeitsgetriebe (n), Voith-Stromungsgetriebe (n), hydraulische Kraftubertragung von Voith (f)"
7188,4サイクルエンジン,four cycle engine,moteur a quatre temps (m),Viertaktmotor (m)
7189,FOCS［貨物輸送の］,freight operation control system,FOCS,FOCS
7190,フォーマルメソッド,formal methods,methodes formelles (fpl),formale Methoden (pl)
7191,フォールトアボイダンス,fault avoidance,prevention des derangements (f),Storungsumgehung (f)
7192,フォールトトレランス,fault-tolerance,tolerance aux pannes (f),Fehlertoleranz (f)
7193,深い基礎,deep foundation,fondation profonde (f),"Tiefgrundung (f), Tieffundation (f)"
7194,負荷インピーダンス,load impedance,impedance de charge (f),Lastimpedanz (f)
7195,不可逆磁界,irreversibility field,champs d’irreversibilite (m),Irreversibilitatsfeld (n)
7196,付加空気タンク［自動空気ブレーキ装置の］,supplementary air reservoir,reservoir d’air supplementaire (m),zusatzlicher Luftbehalter (m)
7197,負荷試験［回転機の］,load test,"essai de charge (m), epreuve de charge (f)","Belastungsprobe (f), Belastungsprufung (f), Belastungstest (m)"
7198,負荷転流［電力変換装置の］,load commutation,"commutation de charge (f), commutation naturelle (f)",Belastungskommutierung (f)
7199,負荷突入電流［タップ式電気車の］,load inrush current,courant de demarrage sous charge (m),Lasteinschaltstrom (m)
7200,不緩解［ブレーキの］,un-release of braking,"non-desserrage (m), non-desserrement (m)",Nichtfreigabe der Bremsung (f)
7201,不完全支持基礎［基礎の］,imperfect supporting foundation,support imparfait (m),fehlerhaftes Tragfundament (n)
7202,不完全支持層［基礎の］,imperfect supporting layer,"couche de fondation imparfaite (f), couche portante imparfaite (f), couche de base imparfaite (f)",unvollkommene Tragschicht (f)
7203,吹き上げ防止柵,blowing up snow fence,barriere empechant le soulevement de neige (f),aufgeblasener Schneezaun (m)
7204,吹きだまり,snow drift,congere (f),"Schneewehe (f), Schneeverwehung (f)"
7205,吹きだまり対策,snow drift protection,protection contre les congeres (f),"Schneedriftschutz (m), Schneewehenschutz (m)"
7206,吹きだめ柵,collector snow fence,barriere pour amonceler la neige (f),Schneesammelzaun (m)
7207,吹付けコンクリート,"shotcrete, sprayed concrete",beton projete (m),Spritzbeton (m)
7208,負き電線,negative feeder,"feeder de retour (m), artere de retour (f)",Ruckspeisekabel (n)
7209,吹き止め柵,collector upwind snow fence,haie paraneige au vent a collecteur (f),Schneeschutzanlage auf der Windseite des Kommutators (f)
7210,吹抜け［エンジンの］,blow-by,gaz contournant le piston (m),Kurbelgehauseentluftung（f）
7211,吹き払い柵,blower snow fence,barriere pour chasser la neige (f),Schneegeblasezaun (m)
7212,吹寄せ［車体の］,pier panel,panneau de pilier (m),Bruckenpfeilerpaneel (n)
7213,復位［信号保安装置の］,replacement,retour (m),Wiederherstellung (m)
7214,複軌条軌道回路,double-rail track circuit,circuit de voie sur les deux rails (m),zweischienig isolierter Gleisstromkreis (m)
7215,復元原波形［軌道変位の］,restored track irregularity,inegalite de voie retablie (f),wiederhergestellte Fahrtenunregelmasigkeit (f)
7216,復元ばね［パンタグラフの］,pan spring,ressort de pantographe (m),Bugelfeder (f)
7217,復元力［構造物の］,restoring force,force de retablissement (f),restaurieren des Bild
7218,複合構造［構造物の］,hybrid structure,structure hybride (f),"Hybridstruktur (f), Hybridkonstruktion (f)"
7219,複合材料,composite material,materiau composite (m),"Verbundstoff (m), Verbundwerkstoff (m) (m), Kompositwerkstoff (m)"
7220,複合石けんグリース,complex soap grease,graisse de savon combinee (f),komplexes Seifenfett (n)
7221,複合ターミナル,compound terminal,terminal mixte (m),Verbundterminal (n)
7222,複合変位［軌道の］,combination of alignment and cross-level,combinaison d’alignements de niveau et transversal (f),Verbindung zwischen Langshohe und gegenseitige Hohenlage
7223,腹材,web member,"barre de treillis (f), element du treillis (m)","Fachwerkstab (m), Fullungsstab (m)"
7224,複式鎖錠装置,"multiple locking device, facing point lock device","systeme de verrou double (m), systeme de fermeture a double tour (m)",Mehrfachverschlusssystem (n)
7225,複式中継弁［空気ブレーキの］,multi-step relay valve,"double servovalve (f), double servo-soupape (f)",Doppelrelaisventil (n)
7226,複式ボギー車,bogie car with combined multiple truck,wagon a bogies combines (m),Fahrzeug mit kombiniertem mehrfachem Drehgestell (n)
7227,ふく射熱シールド板［超電導コイルの］,radiation shield plate,"tole de protection contre les radiations (f), tole de protection radiologique (f)",Strahlenschutzblech (n)
7228,ふく進［レールの］,rail creeping,cheminement du rail (m),Schienenwandern (n)
7229,複心曲線［軌道の］,compound curve,courbe composee (f),doppelte Herzkurve (f)
7230,復心装置［連結器の］,centering device,dispositif de centrage (m),Zentriervorrichtung (f)
7231,ふく進抵抗力［レールの］,resistance to rail-creepage,resistance au cheminement des rails (f),Langsverschiebewiderstand (m)
7232,ふく進止め［レールの］,anti-creeper,"anticheminant (m), arret de cheminement (m), dispositif anticheminant (m)",Wanderschutz (m)
7233,複線,double track,double voie (f),"Doppelspur (f), zweigleisige Bahn (f), zweigleisige Strecke (f)"
7234,複線化,doubling of track,"doublement de la voie (m), mise a deux voies (f), mise a double voie (f)","Umstellung auf zweigleisigen Betrieb (f), zweigleisiger Ausbau einer Strecke (m)"
7235,複線トンネル,double track tunnel,tunnel a double voie (m),doppelter Fahrtentunnel (m)
7236,複線方式［電車線の］,insulated return system,systeme de retour isole (m),isolierte Stromruckleitung (f)
7237,複蓄,automatic route setting equipment,"installation de commande automatique des itineraires (pour double voie) (f), dispositif de commande automatique des itineraires (m), systeme de commande automatique d’itineraires (m)",automatisches Fahrstraseneinstellgerat (n)
7238,福地の式［転覆の］,Fukuchi’s　formula,formule de Fukuchi (f),Formel von Fukuchi (f)
7239,複鉄筋,double reinforced,armatures doubles (fpl),doppelt verstarkter Beton (m)
7240,腹鉄筋,web reinforcement,armature de cisaillement (f),Schubbewehrung (f)
7241,腹板,web,"flasque（m), ame de rail (m), ame (f)",Wange (f)
7242,腹部［レールの］,"web, web of rail",ame du rail (m),"Flansch (m), Schienensteg (m)"
7243,複々線,quadruple track,"ligne a quadruple voie (f), ligne a quatre voies (f)",viergleisige Strecke (f)
7244,複々線化,quadrupling of track,"mise a quadruple voie (f), mise a quatre voies (f), quadruplement des voies (m)","Umstellung auf viergleisigen Betrieb (f), viergleisiger Ausbau einer Strecke (m)"
7245,腹部水平裂［レールの］,horizontal split web,ame fissuree horizontalement (f),waagerechter Riss (m)
7246,複分岐器,tandem turnout,"branchement a trois voies decale (m), branchement trois voies decale (m)",Dreiwegweiche mit versetzten Zungenspitzen (f)
7247,副本線,passing track,"ligne principale subordonnee (f), garage actif (m), GA (m), voie de depassement (f), voie de depassement en marche (f), voie de garage actif (f), evitement (m), voie d’evitement (f)","Uberholungsgleis (n), Ausweichgleis (n)"
7248,複巻電動機,compound motor,"moteur compound (m), moteur a excitation composee (m), moteur a excitation mixte (m)","Doppelschlusmotor (m), Kompoundmotor (m), Verbundmotor (m)"
7249,伏流［地下水の］,river-bed water,Lit d’un cours d’eau (m),Flussbettwasser (n)
7250,部材［構造物の］,member,entretoise de chassis (f),"Rahmentrager (m), Strebe (f)"
7251,部材係数［限界状態設計法の］,member factor,coefficient de membre (m),Mitgliedskoeffizient (f)
7252,ふし［鉄筋の］,lateral rib,nervure laterale (f),Seitenrippe (f)
7253,浮上案内兼用方式［超電導磁気浮上式鉄道の］,both levitation and guidance system,systeme de sustentation et de guidage (m),Trag- und Fuhrungssystem (n)
7254,浮上案内コイル［超電導磁気浮上式鉄道の］,levitation and guidance coil,bobine de sustentation et de guidage (f),Trag- und Fuhrspule (f)
7255,浮上コイル［超電導磁気浮上式鉄道の］,levitation coil,bobine de sustentation (f),Tragspule (f)
7256,浮上式鉄道,levitation railway,chemin de fer de sustentation (m),Schwebebahn (f)
7257,浮上式鉄道宮崎実験センター,Miyazaki maglev test center,"centre d’essai Maglev de Miyazaki (m), centre d’essai de levitation magnetique de Miyazaki (m)","Maglev Versuchsanlage Miyazaki (f), Versuchsanlage der Magnetschwebebahn in Miyazaki (f)"
7258,浮上式鉄道山梨実験センター,Yamanashi maglev test center,"centre d’essai Maglev de Yamanashi (m), centre d’essai de levitation magnetique de Yamanashi (m)","Maglev Versuchsanlage Yamanashi (f), Versuchsanlage der Magnetschwebebahn in Yamanashi (f)"
7259,浮上走行［超電導磁気浮上式鉄道の］,levitated run,marche en levitation (f),Schwebefahrt (f)
7260,浮上力［磁気浮上方式の］,levitation force,fonction de sustentation (f),"Tragfunktion (f), Schwebungstarke (f), Schwebungkraft (f)"
7261,腐食,corrosion,corrosion (f),Korrosion (f)
7262,腐食環境,corrosive environment,"environnement corrosif (m), atmosphere corrosive (f)","korrodierende Atmosphare (f), korrodierende Umwelt (f)"
7263,腐食試験,"corrosion test, etch test, etching test",essai de corrosion (m),"Korrosionsversuch (m), Korrosionsprufung (f)"
7264,腐食生成物,corrosion product,produit corrosif (m),"Atzmittel (n), Korrosion (f), Korrosionfabrikat（n）"
7265,腐食速度,"corrosion speed, corrosion rate",vitesse de corrosion (f),Korrosionsgeschwindigkeit (f)
7266,腐食電位,"corrosion potential, rust potential",potentiel de corrosion (m),"Korrosionspotential (n), Rostpotential (n)"
7267,腐食電池,corrosion cell,pile de corrosion (f),"Korrosionselement (n), Korrosionszelle (f)"
7268,腐食電流,corrosion current,courant de corrosion (m),Korrosionsstrom (m)
7269,腐植土,humic soil,"sol humique (m), sol humique (m)","Humusboden (m), humussauerer Boden (m), Humifiktion (f), Humuabildung (f)"
7270,腐食反応,corrosion reaction,reaction a la corrosion (f),Korrosionsreaktion (f)
7271,腐食疲労,corrosion fatigue,fatigue-corrosion (f),Korrosionsermudung (f)
7272,ブス,bus,barre omnibus (f),Bus (m)
7273,付随車,trailer,remorque (f),Anhanger (m)
7274,付随台車,trailing truck,bogie porteur (m),Laufdrehgestell (n)
7275,ブースターセクション［BTき電方式の］,booster section,sectionnement a lame d’air (f),Verstarkerabschnitt (m)
7276,不整形地盤,irregular soil deposit,depot de sol irregulier (m),irregulare Bodenablagerung (f)
7277,不整合,unconformity,non-conformite (f),"Erosionsdiskordanz (f), Semidiskordanz (f)"
7278,敷設精度［超電導磁気浮上式鉄道の］,installation accuracy,precision d’installation (f),Aufstellungsgenauigkeit (f)
7279,伏び［施工基面下の］,cross drain,rigole sous sol (f),Querrinne (f)
7280,付属装置［車両の］,"attached equipment, auxiliary equipment",equipement auxiliaire (m),Hilfsmaschinen (pl)
7281,不足電圧継電器,undervoltage relay,relais de sous-tension (m),Unterspannungsrelais (n)
7282,付帯設備［構造物の］,"appurtenance, utilities",auxiliaires (mpl),"Zubehor (n), Einrichtungen (pl)"
7283,付着強度,bond strength,"contrainte d’adherence (f), resistance d’adhesion (f), resistance a l’adherence (f)",Haftfestigkeit (f)
7284,付着力［コンクリートの］,bond force,resistance d’adherence (f),Haftfestigkeit
7285,フーチング［構造物における］,footing,"fondation (f), base (f), socle (m), embase (f), empattement (m), semelle (f), assise (f)","Fundament (n), Grundungskorper (m), Sockel (m), Untergrund (m), Grundung (f), Unterbau (m)"
7286,フーチング基礎,"footing foundation, spread foundation","fondation (f), base (f), socle (m), embase (f), empattement (m), semelle (f), assise (f)","Fundament (n), Grundungskorper (m), Sockel (m), Untergrund (m), Grundung (f), Unterbau (m)"
7287,普通駅,common station,gare ordinaire (f),Gewohnlichbanhof
7288,普通貨物列車,local freight train,train a marchandises local (m),Nahverkehrsguterzug (m)
7289,普通コンクリート,"ordinary concrete, concrete","beton ordinaire (m), beton normal (m)","Normalbeton (m), gewohnlicher Beton (m)"
7290,普通車,"ordinary class car, standard car",voiture standard (f),Standardreisezugwagen
7291,普通鋳鉄,"flake graphite cast iron, grey cast iron","fontes grises (fp), fontes a graphite lamellaire (f)","Graugus (m), graues Guseisen (n), Guseisen mit Lamellengraphit (n), GGL (n)"
